model_id,file,topic_id,category,preset,debate_format,format_score_raw,format_score_norm,llm_self_repetition,llm_team_repetition,llm_role_consistency,llm_persona_tone_toxicity,llm_web_search_tool_use,llm_faithfulness_hallucination_control,llm_logic_evidence_synthesis,llm_korean_language_compliance,llm_mean,final_score
Qwen-2.5-32B-Instruct,env_003_3v3_mixed.json,env_003,환경,3v3_mixed,3:3,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,poli_001_2v2_balanced.json,poli_001,정치,2v2_balanced,2:2,100,5.0,4,4,5,5,5,4,4,5,4.5,4.56
Qwen-2.5-32B-Instruct,poli_001_2v2_polarized.json,poli_001,정치,2v2_polarized,2:2,90.0,4.6,5,5,5,5,5,5,5,5,5.0,4.96
Qwen-2.5-32B-Instruct,poli_001_3v3_balanced.json,poli_001,정치,3v3_balanced,3:3,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,poli_001_3v3_mixed.json,poli_001,정치,3v3_mixed,3:3,90.0,4.6,4,3,5,5,4,3,4,5,4.12,4.18
Qwen-2.5-32B-Instruct,poli_002_2v2_balanced.json,poli_002,정치,2v2_balanced,2:2,95.5,4.82,5,5,5,5,5,5,5,5,5.0,4.98
Qwen-2.5-32B-Instruct,poli_002_2v2_polarized.json,poli_002,정치,2v2_polarized,2:2,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,poli_002_3v3_balanced.json,poli_002,정치,3v3_balanced,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,poli_002_3v3_mixed.json,poli_002,정치,3v3_mixed,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,poli_003_2v2_balanced.json,poli_003,정치,2v2_balanced,2:2,95.5,4.82,5,5,5,5,5,5,5,5,5.0,4.98
Qwen-2.5-32B-Instruct,poli_003_2v2_polarized.json,poli_003,정치,2v2_polarized,2:2,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,poli_003_3v3_balanced.json,poli_003,정치,3v3_balanced,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,poli_003_3v3_mixed.json,poli_003,정치,3v3_mixed,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,tech_001_2v2_balanced.json,tech_001,기술,2v2_balanced,2:2,95.5,4.82,4,5,5,5,5,4,5,5,4.75,4.76
Qwen-2.5-32B-Instruct,tech_001_2v2_polarized.json,tech_001,기술,2v2_polarized,2:2,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,tech_001_3v3_balanced.json,tech_001,기술,3v3_balanced,3:3,100,5.0,5,4,5,5,5,4,5,5,4.75,4.78
Qwen-2.5-32B-Instruct,tech_001_3v3_mixed.json,tech_001,기술,3v3_mixed,3:3,95.0,4.8,4,3,5,5,5,4,4,5,4.38,4.42
Qwen-2.5-32B-Instruct,tech_002_2v2_balanced.json,tech_002,기술,2v2_balanced,2:2,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,tech_002_2v2_polarized.json,tech_002,기술,2v2_polarized,2:2,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,tech_002_3v3_balanced.json,tech_002,기술,3v3_balanced,3:3,100,5.0,5,5,5,5,5,5,5,5,5.0,5.0
Qwen-2.5-32B-Instruct,tech_002_3v3_mixed.json,tech_002,기술,3v3_mixed,3:3,100,5.0,2,2,5,5,5,4,4,5,4.0,4.11
Qwen-2.5-32B-Instruct,tech_003_2v2_balanced.json,tech_003,기술,2v2_balanced,2:2,95.5,4.82,2,2,5,5,5,4,4,5,4.0,4.09
Qwen-2.5-32B-Instruct,tech_003_2v2_polarized.json,tech_003,기술,2v2_polarized,2:2,100,5.0,2,3,5,5,5,2,4,5,3.88,4.0
Qwen-2.5-32B-Instruct,tech_003_3v3_balanced.json,tech_003,기술,3v3_balanced,3:3,100,5.0,5,5,5,5,5,4,5,5,4.88,4.89
Qwen-2.5-32B-Instruct,tech_003_3v3_mixed.json,tech_003,기술,3v3_mixed,3:3,90.0,4.6,5,5,5,5,5,5,5,5,5.0,4.96
Qwen-2.5-7B-Instruct,econ_001_2v2_balanced.json,econ_001,경제,2v2_balanced,2:2,70.0,3.8,2,2,4,5,1,1,4,3,2.75,2.87
Qwen-2.5-7B-Instruct,econ_001_2v2_polarized.json,econ_001,경제,2v2_polarized,2:2,70.0,3.8,2,2,4,4,2,2,3,4,2.88,2.98
Qwen-2.5-7B-Instruct,econ_001_3v3_balanced.json,econ_001,경제,3v3_balanced,3:3,70.0,3.8,2,2,4,5,3,2,3,4,3.12,3.2
Qwen-2.5-7B-Instruct,econ_001_3v3_mixed.json,econ_001,경제,3v3_mixed,3:3,70.0,3.8,2,2,4,5,1,1,3,1,2.38,2.53
Qwen-2.5-7B-Instruct,econ_002_2v2_balanced.json,econ_002,경제,2v2_balanced,2:2,85.5,4.42,3,4,5,5,2,2,4,4,3.62,3.71
Qwen-2.5-7B-Instruct,econ_002_2v2_polarized.json,econ_002,경제,2v2_polarized,2:2,95.5,4.82,4,3,5,5,2,2,4,5,3.75,3.87
Qwen-2.5-7B-Instruct,econ_002_3v3_balanced.json,econ_002,경제,3v3_balanced,3:3,70.0,3.8,2,1,4,5,2,2,3,4,2.88,2.98
Qwen-2.5-7B-Instruct,econ_002_3v3_mixed.json,econ_002,경제,3v3_mixed,3:3,70.0,3.8,3,3,5,5,2,2,4,3,3.38,3.42
Qwen-2.5-7B-Instruct,econ_003_2v2_balanced.json,econ_003,경제,2v2_balanced,2:2,67.7,3.71,3,4,4,5,2,2,4,3,3.38,3.41
Qwen-2.5-7B-Instruct,econ_003_2v2_polarized.json,econ_003,경제,2v2_polarized,2:2,77.7,4.11,2,1,4,5,2,2,3,4,2.88,3.01
Qwen-2.5-7B-Instruct,econ_003_3v3_balanced.json,econ_003,경제,3v3_balanced,3:3,63.3,3.53,3,3,5,5,2,2,4,4,3.5,3.5
Qwen-2.5-7B-Instruct,econ_003_3v3_mixed.json,econ_003,경제,3v3_mixed,3:3,78.3,4.13,3,2,4,5,1,2,4,4,3.12,3.24
Qwen-2.5-7B-Instruct,env_001_2v2_balanced.json,env_001,환경,2v2_balanced,2:2,70.0,3.8,2,3,5,5,1,2,4,4,3.25,3.31
Qwen-2.5-7B-Instruct,env_001_2v2_polarized.json,env_001,환경,2v2_polarized,2:2,70.0,3.8,2,2,5,5,1,1,4,5,3.12,3.2
Qwen-2.5-7B-Instruct,env_001_3v3_balanced.json,env_001,환경,3v3_balanced,3:3,86.7,4.47,3,2,5,5,2,2,4,5,3.5,3.61
Qwen-2.5-7B-Instruct,env_001_3v3_mixed.json,env_001,환경,3v3_mixed,3:3,80.0,4.2,2,2,5,5,3,2,4,5,3.5,3.58
Qwen-2.5-7B-Instruct,env_002_2v2_balanced.json,env_002,환경,2v2_balanced,2:2,85.0,4.4,2,3,5,4,1,2,4,2,2.88,3.04
Qwen-2.5-7B-Instruct,env_002_2v2_polarized.json,env_002,환경,2v2_polarized,2:2,95.0,4.8,2,2,5,5,2,1,3,4,3.0,3.2
Qwen-2.5-7B-Instruct,env_002_3v3_balanced.json,env_002,환경,3v3_balanced,3:3,90.0,4.6,2,3,5,5,1,2,4,4,3.25,3.4
Qwen-2.5-7B-Instruct,env_002_3v3_mixed.json,env_002,환경,3v3_mixed,3:3,70.0,3.8,2,3,4,5,1,2,4,3,3.0,3.09
Qwen-2.5-7B-Instruct,env_003_2v2_balanced.json,env_003,환경,2v2_balanced,2:2,70.0,3.8,2,3,3,5,1,3,3,4,3.0,3.09
Qwen-2.5-7B-Instruct,env_003_2v2_polarized.json,env_003,환경,2v2_polarized,2:2,70.0,3.8,2,3,2,4,2,2,3,2,2.5,2.64
Qwen-2.5-7B-Instruct,env_003_3v3_balanced.json,env_003,환경,3v3_balanced,3:3,75.0,4.0,2,3,5,5,1,1,4,5,3.25,3.33
Qwen-2.5-7B-Instruct,env_003_3v3_mixed.json,env_003,환경,3v3_mixed,3:3,66.7,3.67,2,2,5,5,1,2,4,5,3.25,3.3
Qwen-2.5-7B-Instruct,poli_001_2v2_balanced.json,poli_001,정치,2v2_balanced,2:2,63.2,3.53,2,3,5,5,2,3,4,4,3.5,3.5
Qwen-2.5-7B-Instruct,poli_001_2v2_polarized.json,poli_001,정치,2v2_polarized,2:2,70.0,3.8,2,2,4,5,1,1,3,4,2.75,2.87
Qwen-2.5-7B-Instruct,poli_001_3v3_balanced.json,poli_001,정치,3v3_balanced,3:3,70.0,3.8,2,3,4,5,2,2,3,4,3.12,3.2
Qwen-2.5-7B-Instruct,poli_001_3v3_mixed.json,poli_001,정치,3v3_mixed,3:3,70.0,3.8,2,2,5,5,1,2,3,4,3.0,3.09
Qwen-2.5-7B-Instruct,poli_002_2v2_balanced.json,poli_002,정치,2v2_balanced,2:2,100,5.0,2,3,2,5,1,2,4,5,3.0,3.22
Qwen-2.5-7B-Instruct,poli_002_2v2_polarized.json,poli_002,정치,2v2_polarized,2:2,70.0,3.8,4,3,5,5,2,1,4,3,3.38,3.42
Qwen-2.5-7B-Instruct,poli_002_3v3_balanced.json,poli_002,정치,3v3_balanced,3:3,70.0,3.8,2,3,5,5,1,2,4,4,3.25,3.31
Qwen-2.5-7B-Instruct,poli_002_3v3_mixed.json,poli_002,정치,3v3_mixed,3:3,70.0,3.8,3,3,4,5,2,2,4,2,3.12,3.2
Qwen-2.5-7B-Instruct,poli_003_2v2_balanced.json,poli_003,정치,2v2_balanced,2:2,90.0,4.6,2,3,5,5,1,1,4,5,3.25,3.4
Qwen-2.5-7B-Instruct,poli_003_2v2_polarized.json,poli_003,정치,2v2_polarized,2:2,70.0,3.8,2,3,5,5,2,1,4,4,3.25,3.31
Qwen-2.5-7B-Instruct,poli_003_3v3_balanced.json,poli_003,정치,3v3_balanced,3:3,70.0,3.8,2,3,5,5,1,2,3,5,3.25,3.31
Qwen-2.5-7B-Instruct,poli_003_3v3_mixed.json,poli_003,정치,3v3_mixed,3:3,66.7,3.67,2,3,5,3,2,1,2,2,2.5,2.63
Qwen-2.5-7B-Instruct,tech_001_2v2_balanced.json,tech_001,기술,2v2_balanced,2:2,65.5,3.62,3,2,5,5,1,1,4,5,3.25,3.29
Qwen-2.5-7B-Instruct,tech_001_2v2_polarized.json,tech_001,기술,2v2_polarized,2:2,70.0,3.8,2,3,5,5,2,1,4,4,3.25,3.31
Qwen-2.5-7B-Instruct,tech_001_3v3_balanced.json,tech_001,기술,3v3_balanced,3:3,70.0,3.8,2,3,5,5,2,2,4,5,3.5,3.53
Qwen-2.5-7B-Instruct,tech_001_3v3_mixed.json,tech_001,기술,3v3_mixed,3:3,70.0,3.8,3,2,5,5,1,2,4,5,3.38,3.42
Qwen-2.5-7B-Instruct,tech_002_2v2_balanced.json,tech_002,기술,2v2_balanced,2:2,80.5,4.22,3,2,4,5,1,2,3,5,3.12,3.25
Qwen-2.5-7B-Instruct,tech_002_2v2_polarized.json,tech_002,기술,2v2_polarized,2:2,95.0,4.8,2,3,5,5,1,2,4,2,3.0,3.2
Qwen-2.5-7B-Instruct,tech_002_3v3_balanced.json,tech_002,기술,3v3_balanced,3:3,80.0,4.2,3,2,5,5,1,1,4,5,3.25,3.36
Qwen-2.5-7B-Instruct,tech_002_3v3_mixed.json,tech_002,기술,3v3_mixed,3:3,95.0,4.8,2,3,4,5,2,2,4,5,3.38,3.53
Qwen-2.5-7B-Instruct,tech_003_2v2_balanced.json,tech_003,기술,2v2_balanced,2:2,65.5,3.62,2,2,3,4,1,2,3,2,2.38,2.51
Qwen-2.5-7B-Instruct,tech_003_2v2_polarized.json,tech_003,기술,2v2_polarized,2:2,70.0,3.8,2,3,3,5,1,2,3,5,3.0,3.09
Qwen-2.5-7B-Instruct,tech_003_3v3_balanced.json,tech_003,기술,3v3_balanced,3:3,66.7,3.67,2,3,5,5,2,2,4,5,3.5,3.52
Qwen-2.5-7B-Instruct,tech_003_3v3_mixed.json,tech_003,기술,3v3_mixed,3:3,70.0,3.8,2,3,5,5,2,2,4,5,3.5,3.53
